Ticker,Date,Open,High,Low,Close,Adj Close,Volume
NVDA,1/2/13,3.14,3.1825,3.1275,3.18,2.93584,47883600
NVDA,1/3/13,3.18,3.2175,3.145,3.1825,2.938147,29888800
NVDA,1/4/13,3.1875,3.2975,3.1775,3.2875,3.035086,52496800
NVDA,1/7/13,3.285,3.295,3.17,3.1925,2.947381,61073200
NVDA,1/8/13,3.2,3.21,3.1,3.1225,2.882755,46642400
NVDA,1/9/13,3.1475,3.1625,3.0325,3.0525,2.818129,69502000
NVDA,1/10/13,3.08,3.095,3.04,3.0575,2.822746,50636800
NVDA,1/11/13,3.07,3.0725,3.0225,3.0525,2.818129,51317200
NVDA,1/14/13,3.0725,3.0725,3.015,3.05,2.815821,30568400
NVDA,1/15/13,3.035,3.035,2.9775,2.995,2.765044,37588800
NVDA,1/16/13,2.99,3.0475,2.99,3.0225,2.790434,33737600
NVDA,1/17/13,3.0325,3.075,3.025,3.0625,2.827361,58073600
NVDA,1/18/13,3.0625,3.0625,3.005,3.0425,2.808897,39708800
NVDA,1/22/13,3.04,3.0675,3.0125,3.0275,2.795049,30822400
NVDA,1/23/13,3.0375,3.04,3,3.0325,2.799665,42180800
NVDA,1/24/13,3.0225,3.06,3.0075,3.0475,2.813513,39698000
NVDA,1/25/13,3.0525,3.105,3.0375,3.1025,2.864291,39392000
NVDA,1/28/13,3.1175,3.1725,3.11,3.1525,2.910451,42249200
NVDA,1/29/13,3.14,3.1475,3.0725,3.085,2.848134,38887200
NVDA,1/30/13,3.0875,3.13,3.07,3.08,2.843518,28759200
NVDA,1/31/13,3.08,3.115,3.045,3.065,2.82967,47054400
NVDA,2/1/13,3.09,3.1025,3.065,3.0925,2.855059,28881600
NVDA,2/4/13,3.075,3.1375,3.0375,3.04,2.806589,51174400
NVDA,2/5/13,3.055,3.1275,3.045,3.11,2.871215,36729600
NVDA,2/6/13,3.035,3.11,3.0175,3.085,2.848134,53068800
NVDA,2/7/13,3.075,3.1,3.0425,3.0725,2.836595,44000000
NVDA,2/8/13,3.0925,3.1175,3.0725,3.0925,2.855059,30723200
NVDA,2/11/13,3.1175,3.16,3.0875,3.1275,2.887372,40830800
NVDA,2/12/13,3.1,3.1425,3.095,3.1075,2.868907,27780400
NVDA,2/13/13,3.11,3.1675,3.0825,3.0925,2.855059,85639600
NVDA,2/14/13,3.05,3.185,3.0125,3.1825,2.938147,88209600
NVDA,2/15/13,3.175,3.1975,3.1125,3.1825,2.938147,73386000
NVDA,2/19/13,3.185,3.1875,3.12,3.14,2.898911,43355200
NVDA,2/20/13,3.15,3.2,3.085,3.095,2.857367,71301200
NVDA,2/21/13,3.09,3.125,3.065,3.0725,2.836595,58040800
NVDA,2/22/13,3.0925,3.1325,3.075,3.13,2.889679,37014800
NVDA,2/25/13,3.1375,3.1625,3.07,3.075,2.838902,64444400
NVDA,2/26/13,3.0625,3.11,3.0525,3.0925,2.872575,48750400
NVDA,2/27/13,3.0925,3.1725,3.085,3.15,2.925985,47698000
NVDA,2/28/13,3.14,3.2125,3.1275,3.165,2.939918,59139200
NVDA,3/1/13,3.1425,3.1875,3.115,3.1775,2.951529,38939600
NVDA,3/4/13,3.155,3.195,3.13,3.165,2.939918,35368000
NVDA,3/5/13,3.1825,3.205,3.1675,3.2,2.972429,36616800
NVDA,3/6/13,3.22,3.25,3.1825,3.1975,2.970107,34292800
NVDA,3/7/13,3.215,3.2475,3.1725,3.19,2.96314,31482400
NVDA,3/8/13,3.1975,3.22,3.1825,3.205,2.977074,24646400
NVDA,3/11/13,3.1725,3.1875,3.1475,3.175,2.949206,29974800
NVDA,3/12/13,3.17,3.195,3.14,3.185,2.958496,31085600
NVDA,3/13/13,3.185,3.24,3.155,3.185,2.958496,48584000
NVDA,3/14/13,3.205,3.215,3.1675,3.1875,2.960819,38330400
NVDA,3/15/13,3.1875,3.1875,3.1475,3.16,2.935274,35577600
NVDA,3/18/13,3.14,3.1675,3.115,3.1375,2.914374,29831200
NVDA,3/19/13,3.14,3.155,3.095,3.1175,2.895797,35548000
NVDA,3/20/13,3.1475,3.165,3.12,3.155,2.930629,34058800
NVDA,3/21/13,3.1375,3.1425,3.1,3.105,2.884185,33903200
NVDA,3/22/13,3.115,3.1325,3.1025,3.12,2.898118,23247600
NVDA,3/25/13,3.1375,3.14,3.08,3.1025,2.881864,36207600
NVDA,3/26/13,3.11,3.1275,3.0975,3.125,2.902763,23254000
NVDA,3/27/13,3.1125,3.18,3.105,3.1625,2.937596,25494400
NVDA,3/28/13,3.155,3.21,3.1325,3.2075,2.979396,34927600
